Title,Categories
Wasserschloss Glatt,"['Bauwerk in Sulz am Neckar', 'Ehemalige Kunstschule', 'Gegründet 1946']"
Eidgenössische Bank,"['Ehemaliges Kreditinstitut (Schweiz)', 'Gegründet 1863']"
Skigebiet Kreuzberg,"['Sport (Landkreis Rhön-Grabfeld)', 'Wintersport in der Rhön', 'Bischofsheim in der Rhön', 'Sport (Landkreis Rhön-Grabfeld)']"
Weinbergkirche (Dresden),"['Kirchengebäude in Dresden', 'Barockbauwerk in Dresden', 'Kirche in der Evangelisch-Lutherischen Landeskirche Sachsens|Dresden', 'Disposition einer Orgel|Dresden, Weinbergkirche', 'Heilig-Geist-Kirche|Dresden', 'Erbaut in den 1720er Jahren', 'Pillnitz', 'Weinbergkirche|Dresden', 'Denkmalgeschütztes Bauwerk in Dresden', 'Kulturdenkmal in Dresden', 'Barocke Kirche|Dresden', 'Barocke Kanzel|Dresden, Weinbergkirche', 'Barockes Taufbecken|Dresden, Weinbergkirche']"
NS-Bund Deutscher Technik,"['Verein (Wien)', 'Gegründet 1848', 'Österreichische Technikgeschichte']"
Café Keese (Berlin),"['Diskothek (Berlin)|Keese', 'Berlin-Charlottenburg', 'Gegründet 1966', 'Gastronomiebetrieb (Berlin)']"
Kraftregelung,"['Produktionstechnik', 'Regelungstheorie', 'Robotik']"
St.-Veit-Kirche (Gärtringen),"['Kirchengebäude im Landkreis Böblingen', 'Kulturdenkmal in Gärtringen|Gartringen', 'Gotisches Bauwerk im Landkreis Böblingen', 'Gotische Kirche', 'Veitskirche', 'Disposition einer Orgel', 'Kirche in der Evangelischen Landeskirche in Württemberg|Gartringen', 'Erbaut im 15. Jahrhundert|St.-Veitkirche #Gartringen', 'Kirchengebäude in Europa', 'Bauwerk in Gärtringen']"
Vorbereitungsdienst,"['Amtsbezeichnung (Deutschland)', 'Akteur der Diplomatie']"
Bürgerpark und Stadtwald,"['Parkanlage in Bremen', 'Denkmalgeschütztes Ensemble in Bremen', 'Schwachhausen']"
Hermann Hahn (Architekt),"['Villa in Thüringen|Pflugensberg', 'Erbaut in den 1890er Jahren', 'Kulturdenkmal in Eisenach', 'Bauwerk in Eisenach', 'Evangelisch-Lutherische Kirche in Thüringen']"
Staatliche Zeichenakademie Hanau,"['Handwerk (Deutschland)', 'Ehemalige Schule in Deutschland|*', 'Zeichnen', 'Berufsbildung in Deutschland']"
Triple-Osteotomie,"['Therapeutisches Verfahren in Orthopädie und Unfallchirurgie', 'Operatives Therapieverfahren', 'Therapeutisches Verfahren in der Tiermedizin']"
Paul Parey Zeitschriftenverlag,"['Sportzeitschrift (Deutschland)', 'Angelzeitschrift', 'Ersterscheinung 1960']"
Goldschmiedeschule mit Uhrmacherschule Pforzheim,"['Handwerk (Deutschland)', 'Ehemalige Schule in Deutschland|*', 'Zeichnen', 'Berufsbildung in Deutschland']"
Nikolaitor (Eisenach),"['Innerortsstraße in Thüringen', 'Straße in Europa', 'Verkehrsbauwerk in Eisenach']"
