('Sterbeort', 'death place')
('Geburtsort', 'birth place')
('Klasse', 'class')
('Elternteil', 'parent')
('Team', 'team')
('Clubmanager', 'manager club')
('Schlacht', 'battle')
('bekannt für', 'known for')
('Produkt', 'product')
('Weganfang', 'route start')
('Militäreinheit', 'military unit')
('Startplatz', 'launch site')
('Typ', 'type')
('Todesursache', 'death cause')
('Standort', 'location')
('benannt nach', 'named after')
('Betreiber', 'operator')
('Eigentümer', 'owner')
('bedeutendes Design', 'significant design')
('Garnison', 'garrison')
('Wegende', 'route end')
('Gebiet', 'territory')
('im Krieg eingesetzt', 'used in war')
('bedeutendes Projekt', 'significant project')
('Operierende Schienenfahrzeuge', 'railway rolling stock')
('Beschäftigung', 'occupation')
('Ruhestätte', 'resting place')
('Residenz', 'residence')
('Industrie', 'industry')
('Hauptsitz', 'headquarter')
('Heimstadion', 'home stadium')
('Hauptstadt', 'capital')
('museum', 'museum')
('Dienst', 'service')
('bedeutendes Gebäude', 'significant building')
('Ort der Bestattung', 'place of burial')
('Adresse in Straße', 'address in road')
('Institution', 'institution')
('Auszeichnung', 'award')
('Befehlshaber', 'commander')
('schule', 'school')
('Ehrungen', 'honours')
('Arbeitgeber', 'employer')
('Insel', 'island')
('Verwandter', 'relative')
('Campus', 'campus')
('Baumeister', 'builder')
('bild', 'picture')
('Ratsbereich', 'Council area')
('Statthalterbereich', 'Lieutenancy area')
('militärischer Zweig', 'military branch')
('bemerkenswerte Arbeit', 'notable work')
('Verknüpft eine Entität mit dem bevölkerten Ort, an dem sie sich befindet.', 'Relates an entity to the populated place in which it is located.')
('Mund Berg', 'mouth mountain')
('Mundplatz', 'mouth place')
('aufgenommen in', 'recorded in')
('Stromart', 'power type')
('Boden', 'ground')
('Eigentümerorganisation', 'owning organisation')
('bemerkenswerter Kommandant', 'notable commander')
('Designer', 'designer')
('Tafel', 'board')
('zugehörige Band', 'associated band')
('assoziierter Musikkünstler', 'associated musical artist')
('Wiederaufbau', 'rebuilder')
('Heimathafen', 'homeport')
('Einwohnerzahl', 'population place')
('befindet sich im Bereich', 'located in area')
